ColumnName,abs_coef_mean_xgb,abs_coef_mean_lasso,coef_boruta,coef_sum
Condition1_Adjacent to East-West Railroad,0.042374154770848986,0.06251996677528593,0.19999999999999996,0.6097882430922698
Neighborhood_Sawyer West,0.04162283996994741,0.010159095265478243,0.22790697674418603,0.5593778239592233
ExterCond_Fair,0.04162283996994741,0.07922816433454731,0.9255813953488372,2.092864799306664
OverallCond_Excellent,0.041172051089406456,0.33525014376078205,0.4651162790697675,1.6830769478399121
ExterQual_Good,0.04102178812922615,0.014280237684493003,0.8790697674418605,1.8687435865111592
BsmtFinType2_Below Average Living Quarters,0.0405709992486852,0.056386173407449995,0.33488372093023255,0.8636817871727355
Fence_Good Wood,0.0405709992486852,0.08018656954827168,0.7767441860465116,1.795003509686937
LotConfig_Cul-de-sac,0.04027047332832457,0.10123953740975018,0.3674418604651163,1.0179037424063822
SaleCondition_Normal Sale,0.03906836964688204,0.06299916938214811,0.7813953488372093,1.7669257757324788
LotConfig_Frontage on 2 sides of property,0.03816679188580015,0.06047536898600728,0.27441860465116275,0.7461215310459404
Neighborhood_Somerset,0.03666416228399699,0.12363427257044277,0.3441860465116279,1.0089689627321352
GarageFinish_Unfinished,0.035912847483095416,0.018816689029454988,0.827906976744186,1.7652730265134728
HeatingQC_Average/Typical,0.03546205860255447,0.015526164462334673,0.6744186046511628,1.4508136554321038
GarageFinish_Rough Finished,0.035311795642374154,0.0060379528464634845,0.7023255813953488,1.487350659768373
Neighborhood_College Creek,0.03486100676183321,0.009456264775413711,0.4,0.8886345430744939
LotShape_Regular,0.03486100676183321,0.015302536579132322,0.7627906976744185,1.625908482030768
Neighborhood_Meadow Village,0.03486100676183321,0.14277043000447254,0.5674418604651162,1.490146594462844
MiscVal,0.03456048084147258,0.007060251741102805,0.5348837209302326,1.153008907025616
KitchenQual_Good,0.03410969196093163,0.004951760270909207,0.9302325581395349,1.9385880207427515
BsmtCond_Fair - dampness or some cracking or settling,0.03395942900075132,0.06967605903776115,0.7395348837209302,1.6863407435188855
RoofStyle_Gable,0.03320811419984974,0.01284262986390646,0.655813953488372,1.4037293951042564
GarageType_Detached from home,0.03305785123966942,0.05565139607692799,0.8372093023255813,1.8518370992843574
HeatingQC_Excellent,0.03305785123966942,0.0793878985368347,0.7209302325581395,1.6667519646692872
BsmtFinType1_Good Living Quarters,0.032607062359128476,0.023928183502651586,0.7627906976744185,1.6386518870723972
FireplaceQu_Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,0.032006010518407214,0.0031946840457478753,0.5627906976744186,1.1959827844771473
BsmtFinType1_Average Rec Room,0.031404958677685946,0.013449619832598556,0.4418604651162791,0.9734300872531272
Foundation_Brick & Tile,0.03065364387678437,0.06175324260430643,0.4511627906976744,1.0871393543575305
KitchenQual_Typical/Average,0.030353117956423745,0.008593700083061786,0.9906976744186047,2.0592889849161806
LotConfig_Inside lot,0.030353117956423745,0.0023001725129384704,0.586046511627907,1.2373996041945383
BsmtExposure_Average Exposure (split levels or foyers typically score average or above),0.030202854996243426,0.0063893680914957505,0.43255813953488376,0.9383007252452459
FireplaceQu_Fair - Prefabricated Fireplace in basement,0.030202854996243426,0.005526803399143824,0.13953488372093026,0.350529084232635
LandContour_Banked - Quick and significant rise from street grade to building,0.030202854996243426,0.1092901412050348,0.6837209302325582,1.6464278528676728
BsmtQual_Excellent (100+ inches),0.02930127723516153,0.12900134176729922,1.0,2.3166052380049216
OverallQual_Excellent,0.02930127723516153,0.5281132196025813,0.7953488372093023,2.70552666809409
FireplaceQu_Poor - Ben Franklin Stove,0.028850488354620583,0.02054181841415884,0.5023255813953488,1.1034357763282565
BsmtHalfBath,0.028850488354620583,0.006453261772410708,0.5116279069767442,1.093863314207551
HeatingQC_Good,0.028549962434259956,0.007731135390709858,0.5209302325581395,1.1144226607662187
HeatingQC_Fair,0.028399699474079637,0.025557472365983002,0.7395348837209302,1.5869841111219858
Neighborhood_Old Town,0.028249436513899325,0.06021979426234745,0.7534883720930232,1.68391520573854
MSZoning_Floating Village Residential,0.027948910593538694,0.07009136796370839,0.21395348837209305,0.6239875338586802
Neighborhood_Northridge Heights,0.02764838467317806,0.2256724809916299,0.4232558139534883,1.3531533592365925
MasVnrType_Brick Common,0.02764838467317806,0.05555555555555555,0.38604651162790693,0.9385009037132811
GarageCond_Typical/Average,0.02734785875281743,0.0323302025429685,0.9395348837209302,1.9984258900334322
LotConfig_Corner lot,0.02734785875281743,0.02226694779886269,0.5581395348837209,1.2155086828708022
FireplaceQu_Good - Masonry Fireplace in main level,0.026897069872276483,0.014152450322663088,0.7906976744186047,1.6634943892270886
LandContour_Near Flat/Level,0.02674680691209617,0.007826975912082295,0.7162790697674418,1.5017057051832405
LandContour_Hillside - Significant slope from side to side,0.02674680691209617,0.01920005111494473,0.5255813953488372,1.1430565067517562
BsmtFinType1_Low Quality,0.02674680691209617,0.033608076161267646,0.3627906976744186,0.8462911614955648
GarageCond_Fair,0.02674680691209617,0.10529678614784999,0.3534883720930232,0.9710639303059387
MSZoning_Residential Medium Density,0.026596543951915852,0.07731135390709858,0.9116279069767442,2.031071609671517
Functional_Major Deductions 2,0.026596543951915852,0.15963836176602134,0.786046511627907,1.9445628346916883
SaleCondition_Home was not completed when last assessed (associated with New Homes),0.02629601803155522,0.022235000958405214,0.3767441860465116,0.8505504100729441
Neighborhood_Clear Creek,0.02599549211119459,0.07366941409494601,0.627906976744186,1.4551437659006532
Alley_Paved,0.02599549211119459,0.07513896875599002,0.41860465116279066,1.0394782240599505
Neighborhood_Sawyer,0.025845229151014275,0.0440546929908632,0.40930232558139534,0.9584044954465456
MasVnrType_Brick Face,0.025544703230653644,0.004632291866334419,0.49302325581395345,1.046400501821883
PavedDrive_Partial Pavement,0.024492862509391436,0.0031627372052903968,0.3906976744186047,0.8367065482665731
ExterCond_Average/Typical,0.02404207362885049,0.03197878729793623,0.6651162790697674,1.4422742799931083
BsmtFinType1_Below Average Living Quarters,0.023891810668670174,0.010606351031882946,0.38139534883720927,0.8317870210755248
LandSlope_Severe Slope,0.023441021788129224,0.06855791962174941,0.2790697674418604,0.7421374177034781
Fence_Minimum Privacy,0.023441021788129224,0.014983068174557534,0.4744186046511628,1.0256853892276991
Fence_No Fence,0.02299023290758828,0.003961408216727366,0.6697674418604651,1.3934381659695616
GarageFinish_Finished,0.02299023290758828,0.010989713117372691,0.6930232558139535,1.454006403677829
RoofStyle_Flat,0.022088655146506386,0.008306178518944475,0.44651162790697674,0.9538129231448552
SaleType_WD,0.02073628850488355,0.09485016931825442,0.6465116279069767,1.5241961714602295
KitchenQual_Fair,0.019834710743801654,0.035301258705514024,0.7069767441860465,1.5242254272707243
SaleType_Court Officer Deed/Estate,0.019684447783621335,0.06168934892339147,0.24651162790697678,0.6557708492279792
Condition1_Adjacent to feeder street,0.01953418482344102,0.012970417225736375,0.5441860465116279,1.1533812971216106
GarageType_Car Port,0.019233658903080392,0.041179477349690116,0.35813953488372097,0.8371053422729829
MSZoning_Residential Low Density,0.019083395942900074,0.010798032074627819,0.8790697674418605,1.8179023909187768
LotShape_Slightly irregular,0.01893313298271976,0.01204395885246949,0.6790697674418604,1.4200937185540994
MSZoning_Residential High Density,0.01893313298271976,0.024535173471343683,0.16279069767441856,0.412518008256964
BsmtQual_Good (90-99 inches),0.018782870022539446,0.004408663983132068,0.9534883720930233,1.9533598121973896
Neighborhood_Bloomington Heights,0.018482344102178812,0.00012778736182991502,0.13023255813953483,0.2976853792070871
Foundation_Wood,0.018482344102178812,0.021084914701935978,0.08372093023255811,0.24657637807334581
Neighborhood_South & West of Iowa State University,0.018332081141998496,0.004408663983132068,0.2651162790697674,0.575714048389796
Foundation_Cinder Block,0.018332081141998496,0.008913168487636573,0.6604651162790698,1.3754207318174096
BldgType_Duplex,0.018332081141998496,0.02207526675611782,0.4976744186046511,1.0761635330055348
PavedDrive_Paved ,0.01818181818181818,0.022043319915660338,0.7255813953488373,1.5316130668926315
Neighborhood_Timberland,0.017731029301277235,0.005303175515941473,0.2325581395348837,0.5111846887042047
Alley_Gravel,0.017731029301277235,0.0317232125742764,0.4604651162790697,1.0198387163092466
Neighborhood_Northridge,0.017129977460555973,0.2602709092070794,0.45581395348837206,1.466429680312015
Functional_Moderate Deductions,0.017129977460555973,0.00996741422273337,0.6976744186046512,1.4495436205758812
"Condition1_Near positive off-site feature--park, greenbelt, etc.",0.01697971450037566,0.010222988946393202,0.3069767441860465,0.6683588952656306
SaleType_Warranty Deed - Cash,0.016679188580015023,0.0018209699060762888,0.07441860465116279,0.1858375262745082
BsmtQual_Fair (70-79 inches),0.016378662659654396,0.01926394479585969,0.5069767441860464,1.085238703283121
PavedDrive_Dirt/Gravel,0.01577761081893313,0.009009009009009009,0.8651162790697675,1.7798057977954194
"SaleCondition_Allocation - two linked properties with separate deeds, typically condo with a garage unit",0.01562734785875282,0.014951121334100058,0.2186046511627907,0.49836624071128716
ExterCond_Good,0.015026296018031555,0.004568398185419462,0.39534883720930236,0.8298870628255067
BldgType_Single-family Detached,0.014725770097670924,0.04942176218771963,0.8930232558139535,1.9143415761986882
LandContour_Depression,0.014575507137490607,0.002364066193853428,0.6046511627906976,1.2431814722440833
BsmtQual_Typical (80-89 inches),0.014425244177310292,0.02878410325218836,0.7767441860465116,1.6399070669520206
BsmtCond_Typical - slight dampness allowed,0.014274981217129978,0.014248290844035526,0.8,1.657046544122331
Neighborhood_Northwest Ames,0.014124718256949663,0.04801610120759057,0.5302325581395348,1.18474675520815
LandSlope_Gentle slope,0.014124718256949663,0.0010542457350967988,0.7627906976744185,1.55593932333293
GarageType_Built-In (Garage part of house - typically has room above garage),0.01382419233658903,0.010893872596000255,0.25116279069767444,0.5517617112605274
Alley_No alley access,0.013223140495867768,0.004248929780844674,0.41860465116279066,0.8721534428790062
BsmtExposure_Mimimum Exposure,0.012471825694966193,0.004823972909079292,0.4372093023255814,0.9090102018592539
MasVnrType_Stone,0.012171299774605559,0.022043319915660338,0.6093023255813954,1.2870338905433225
BldgType_Townhouse End Unit,0.01187077385424493,0.00041530892594722376,0.31162790697674414,0.6478279795138726
LotShape_Moderately Irregular,0.01187077385424493,0.02868826273081592,0.32093023255813957,0.7229785382864009
GarageType_Basement Garage,0.011720510894064612,0.012331480416586799,0.1581395348837209,0.36438305238874463
RoofStyle_Hip,0.011720510894064612,0.005590697080058782,0.5906976744186047,1.2160177647854562
Fence_Good Privacy,0.011720510894064612,0.0359401955146636,0.28837209302325584,0.6720655988639681
Foundation_Poured Contrete,0.01111945905334335,0.03399143824675739,0.5767441860465117,1.2437101666932249
Neighborhood_Gilbert,0.010518407212622089,0.022107213596575297,0.2837209302325582,0.6326931020835111
ExterQual_Excellent,0.010368144252441775,0.042329563606159346,0.8232558139534883,1.751907043624179
Neighborhood_Iowa DOT and Rail Road,0.010217881292261456,0.05258449939301003,0.6325581395348837,1.3907210404403103
SaleType_Other,0.00976709241172051,0.007635294869337422,0.10697674418604652,0.2487582629342089
BsmtCond_Good,0.00976709241172051,0.0047920260686218135,0.33488372093023255,0.6988856788211497
Functional_Minor Deductions 1,0.009316303531179564,0.01619704811194173,0.14883720930232558,0.34870112189089375
OverallCond_Poor,0.009316303531179564,0.01872084850808255,0.6372093023255814,1.330492908729687
"BsmtCond_Poor - Severe cracking, settling, or wetness",0.008865514650638617,0.024439332949971245,0.26046511627906976,0.5875399277593593
BsmtFinType2_Low Quality,0.008865514650638617,0.00022362788320235127,0.16744186046511633,0.3530620059979146
SaleCondition_Adjoining Land Purchase,0.008715251690458302,0.0028752156411730877,0.08372093023255811,0.19062279512837899
SaleType_Contract Low Down,0.008715251690458302,0.03373586352309756,0.23720930232558135,0.5593208350782745
Fence_Minimum Wood/Wire,0.008564988730277986,0.005207334994569037,0.05581395348837204,0.1391725544264381
ExterQual_Fair,0.008414725770097671,0.023672608778991758,0.8604651162790697,1.7851049016563183
LandSlope_Moderate Slope,0.008414725770097671,0.025525525525525526,0.627906976744186,1.3236944560796184
Neighborhood_Veenker,0.00811419984973704,0.0075075075075075074,0.0976744186046512,0.2265922519237915
